id,clave_sat,state_id/id,name
__export__.res_country_state_municipio_005GUA,005,GUA,Apaseo el Grande
__export__.res_country_state_municipio_005HID,005,HID,Ajacuba
__export__.res_country_state_municipio_005JAL,005,JAL,Amatitán
__export__.res_country_state_municipio_005MEX,005,MEX,Almoloya de Juárez
__export__.res_country_state_municipio_005MIC,005,MIC,Angangueo
__export__.res_country_state_municipio_005MOR,005,MOR,Coatlán del Río
__export__.res_country_state_municipio_005NAY,005,NAY,Huajicori
__export__.res_country_state_municipio_005NLE,005,NLE,Anáhuac
__export__.res_country_state_municipio_005OAX,005,OAX,Asunción Ixtaltepec
__export__.res_country_state_municipio_005PUE,005,PUE,Acteopan
__export__.res_country_state_municipio_005QUE,005,QUE,Colón
__export__.res_country_state_municipio_005ROO,005,ROO,Benito Juárez
__export__.res_country_state_municipio_005SIN,005,SIN,Cosalá
__export__.res_country_state_municipio_005SLP,005,SLP,Cárdenas
__export__.res_country_state_municipio_005SON,005,SON,Arivechi
__export__.res_country_state_municipio_005TAB,005,TAB,Comalcalco
__export__.res_country_state_municipio_005TAM,005,TAM,Burgos
__export__.res_country_state_municipio_005TLA,005,TLA,Apizaco
__export__.res_country_state_municipio_005VER,005,VER,Acula
__export__.res_country_state_municipio_005YUC,005,YUC,Bokobá
__export__.res_country_state_municipio_005ZAC,005,ZAC,Calera
__export__.res_country_state_municipio_006AGU,006,AGU,Pabellón de Arteaga
__export__.res_country_state_municipio_006CAM,006,CAM,Hopelchén
__export__.res_country_state_municipio_006COA,006,COA,Castaños
__export__.res_country_state_municipio_006COL,006,COL,Ixtlahuacán
__export__.res_country_state_municipio_006CHH,006,CHH,Bachíniva
__export__.res_country_state_municipio_006CHP,006,CHP,Amatenango de la Frontera
__export__.res_country_state_municipio_006DIF,006,DIF,Iztacalco
__export__.res_country_state_municipio_006DUR,006,DUR,General Simón Bolívar
__export__.res_country_state_municipio_006GRO,006,GRO,Apaxtla
__export__.res_country_state_municipio_006GUA,006,GUA,Atarjea
__export__.res_country_state_municipio_006HID,006,HID,Alfajayucan
__export__.res_country_state_municipio_006JAL,006,JAL,Ameca
__export__.res_country_state_municipio_006MEX,006,MEX,Almoloya del Río
__export__.res_country_state_municipio_006MIC,006,MIC,Apatzingán
__export__.res_country_state_municipio_006MOR,006,MOR,Cuautla
__export__.res_country_state_municipio_006NAY,006,NAY,Ixtlán del Río
__export__.res_country_state_municipio_006NLE,006,NLE,Apodaca
__export__.res_country_state_municipio_006OAX,006,OAX,Asunción Nochixtlán
__export__.res_country_state_municipio_006PUE,006,PUE,Ahuacatlán
__export__.res_country_state_municipio_006QUE,006,QUE,Corregidora
__export__.res_country_state_municipio_006ROO,006,ROO,José María Morelos
__export__.res_country_state_municipio_006SIN,006,SIN,Culiacán
__export__.res_country_state_municipio_006SLP,006,SLP,Catorce
__export__.res_country_state_municipio_006SON,006,SON,Arizpe
__export__.res_country_state_municipio_006TAB,006,TAB,Cunduacán
__export__.res_country_state_municipio_006TAM,006,TAM,Bustamante
__export__.res_country_state_municipio_006TLA,006,TLA,Calpulalpan
__export__.res_country_state_municipio_006VER,006,VER,Acultzingo
__export__.res_country_state_municipio_006YUC,006,YUC,Buctzotz
__export__.res_country_state_municipio_006ZAC,006,ZAC,Cañitas de Felipe Pescador
__export__.res_country_state_municipio_007AGU,007,AGU,Rincón de Romos
__export__.res_country_state_municipio_007CAM,007,CAM,Palizada
__export__.res_country_state_municipio_007COA,007,COA,Cuatro Ciénegas
__export__.res_country_state_municipio_007COL,007,COL,Manzanillo
__export__.res_country_state_municipio_007CHH,007,CHH,Balleza
__export__.res_country_state_municipio_007CHP,007,CHP,Amatenango del Valle
__export__.res_country_state_municipio_007DIF,007,DIF,Iztapalapa
__export__.res_country_state_municipio_007DUR,007,DUR,Gómez Palacio
__export__.res_country_state_municipio_007GRO,007,GRO,Arcelia
__export__.res_country_state_municipio_007GUA,007,GUA,Celaya
__export__.res_country_state_municipio_007HID,007,HID,Almoloya
__export__.res_country_state_municipio_007JAL,007,JAL,San Juanito de Escobedo
__export__.res_country_state_municipio_007MEX,007,MEX,Amanalco
__export__.res_country_state_municipio_007MIC,007,MIC,Aporo
__export__.res_country_state_municipio_007MOR,007,MOR,Cuernavaca
__export__.res_country_state_municipio_007NAY,007,NAY,Jala
__export__.res_country_state_municipio_007NLE,007,NLE,Aramberri
__export__.res_country_state_municipio_007OAX,007,OAX,Asunción Ocotlán
__export__.res_country_state_municipio_007PUE,007,PUE,Ahuatlán
__export__.res_country_state_municipio_007QUE,007,QUE,Ezequiel Montes
__export__.res_country_state_municipio_007ROO,007,ROO,Lázaro Cárdenas
__export__.res_country_state_municipio_007SIN,007,SIN,Choix
__export__.res_country_state_municipio_007SLP,007,SLP,Cedral
__export__.res_country_state_municipio_007SON,007,SON,Atil
__export__.res_country_state_municipio_007TAB,007,TAB,Emiliano Zapata
__export__.res_country_state_municipio_007TAM,007,TAM,Camargo
__export__.res_country_state_municipio_007TLA,007,TLA,El Carmen Tequexquitla
__export__.res_country_state_municipio_007VER,007,VER,Camarón de Tejeda
__export__.res_country_state_municipio_007YUC,007,YUC,Cacalchén
__export__.res_country_state_municipio_007ZAC,007,ZAC,Concepción del Oro
__export__.res_country_state_municipio_008AGU,008,AGU,San José de Gracia
__export__.res_country_state_municipio_008BCS,008,BCS,Los Cabos
__export__.res_country_state_municipio_008CAM,008,CAM,Tenabo
__export__.res_country_state_municipio_008COA,008,COA,Escobedo
__export__.res_country_state_municipio_008COL,008,COL,Minatitlán
__export__.res_country_state_municipio_008CHH,008,CHH,Batopilas
__export__.res_country_state_municipio_008CHP,008,CHP,Angel Albino Corzo
__export__.res_country_state_municipio_008DIF,008,DIF,La Magdalena Contreras
__export__.res_country_state_municipio_008DUR,008,DUR,Guadalupe Victoria
__export__.res_country_state_municipio_008GRO,008,GRO,Atenango del Río
__export__.res_country_state_municipio_008GUA,008,GUA,Manuel Doblado
__export__.res_country_state_municipio_008HID,008,HID,Apan
__export__.res_country_state_municipio_008JAL,008,JAL,Arandas
__export__.res_country_state_municipio_008MEX,008,MEX,Amatepec
__export__.res_country_state_municipio_008MIC,008,MIC,Aquila
__export__.res_country_state_municipio_008MOR,008,MOR,Emiliano Zapata
__export__.res_country_state_municipio_008NAY,008,NAY,Xalisco
__export__.res_country_state_municipio_008NLE,008,NLE,Bustamante
__export__.res_country_state_municipio_008OAX,008,OAX,Asunción Tlacolulita
__export__.res_country_state_municipio_008PUE,008,PUE,Ahuazotepec
__export__.res_country_state_municipio_008QUE,008,QUE,Huimilpan
__export__.res_country_state_municipio_008ROO,008,ROO,Solidaridad
__export__.res_country_state_municipio_008SIN,008,SIN,Elota
__export__.res_country_state_municipio_008SLP,008,SLP,Cerritos
__export__.res_country_state_municipio_008SON,008,SON,Bacadéhuachi
__export__.res_country_state_municipio_008TAB,008,TAB,Huimanguillo
__export__.res_country_state_municipio_008TAM,008,TAM,Casas
__export__.res_country_state_municipio_008TLA,008,TLA,Cuapiaxtla
__export__.res_country_state_municipio_008VER,008,VER,Alpatláhuac
__export__.res_country_state_municipio_008YUC,008,YUC,Calotmul
__export__.res_country_state_municipio_008ZAC,008,ZAC,Cuauhtémoc
__export__.res_country_state_municipio_009AGU,009,AGU,Tepezalá
__export__.res_country_state_municipio_009BCS,009,BCS,Loreto
__export__.res_country_state_municipio_009CAM,009,CAM,Escárcega
__export__.res_country_state_municipio_009COA,009,COA,Francisco I. Madero
__export__.res_country_state_municipio_009COL,009,COL,Tecomán
